Report Number,Offense Parent Group,Offense,MCPP,Longitude,Latitude
2020-000044,ASSAULT OFFENSES,Simple Assault,NORTH BEACON HILL,-122.3147187,47.58024753
2020-000078,ASSAULT OFFENSES,Intimidation,SLU/CASCADE,-122.3439543,47.61715008
2020-000137,ASSAULT OFFENSES,Simple Assault,FIRST HILL,0,0
2020-000139,ASSAULT OFFENSES,Aggravated Assault,UNIVERSITY,-122.313088,47.66399625
2020-000191,ASSAULT OFFENSES,Simple Assault,QUEEN ANNE,-122.3580398,47.62152983
2020-000192,ASSAULT OFFENSES,Aggravated Assault,MID BEACON HILL,-122.2915539,47.54888175
2020-000208,ASSAULT OFFENSES,Simple Assault,CAPITOL HILL,-122.3204074,47.61523808
2020-000233,ASSAULT OFFENSES,Simple Assault,HIGHLAND PARK,-122.3467314,47.52372661
2020-000245,ASSAULT OFFENSES,Simple Assault,ROXHILL/WESTWOOD/ARBOR HEIGHTS,0,0
2020-000249,ASSAULT OFFENSES,Simple Assault,CENTRAL AREA/SQUIRE PARK,-122.305022,47.608519
2020-000254,ASSAULT OFFENSES,Simple Assault,SLU/CASCADE,-122.3476013,47.62090802
2020-000281,ASSAULT OFFENSES,Aggravated Assault,DOWNTOWN COMMERCIAL,-122.3343116,47.60846027
2020-000284,ASSAULT OFFENSES,Simple Assault,SANDPOINT,-122.3001657,47.69752909
2020-000286,ASSAULT OFFENSES,Simple Assault,GREENWOOD,-122.356651,47.70364225
2020-000288,ASSAULT OFFENSES,Simple Assault,MOUNT BAKER,-122.2990223,47.58435803
2020-000310,ASSAULT OFFENSES,Simple Assault,BELLTOWN,-122.3447935,47.61470458
2020-000409,ASSAULT OFFENSES,Simple Assault,PIONEER SQUARE,-122.3308075,47.60046424
2020-000444,ASSAULT OFFENSES,Simple Assault,BITTERLAKE,-122.3477718,47.73167696
2020-000512,ASSAULT OFFENSES,Simple Assault,CHINATOWN/INTERNATIONAL DISTRICT,-122.3128171,47.59665523
2020-000518,ASSAULT OFFENSES,Intimidation,SLU/CASCADE,-122.3291534,47.61823776
2020-000677,ASSAULT OFFENSES,Intimidation,LAKECITY,-122.2938204,47.73285933
2020-000760,ASSAULT OFFENSES,Aggravated Assault,ALASKA JUNCTION,-122.3868299,47.55932476
2020-000816,ASSAULT OFFENSES,Simple Assault,ROOSEVELT/RAVENNA,-122.3009065,47.66212501
2020-000869,ASSAULT OFFENSES,Intimidation,CLAREMONT/RAINIER VISTA,-122.2983144,47.56330385
2020-000914,ASSAULT OFFENSES,Intimidation,ALASKA JUNCTION,-122.3869242,47.55607872
2020-000936,ASSAULT OFFENSES,Simple Assault,SLU/CASCADE,-122.3411243,47.61488028
2020-000955,ASSAULT OFFENSES,Aggravated Assault,CAPITOL HILL,-122.3244959,47.61704694
2020-000988,ASSAULT OFFENSES,Aggravated Assault,CENTRAL AREA/SQUIRE PARK,-122.3101731,47.61153999
2020-000999,ASSAULT OFFENSES,Simple Assault,ROXHILL/WESTWOOD/ARBOR HEIGHTS,-122.3729891,47.51302115
2020-001020,ASSAULT OFFENSES,Simple Assault,SLU/CASCADE,-122.3373936,47.61266535
2020-001074,ASSAULT OFFENSES,Simple Assault,NORTHGATE,-122.3326533,47.7086545
2020-001126,ASSAULT OFFENSES,Intimidation,BELLTOWN,-122.3458631,47.61299081
2020-001189,ASSAULT OFFENSES,Aggravated Assault,NORTH BEACON HILL,-122.314649,47.57188728
2020-001243,ASSAULT OFFENSES,Simple Assault,DOWNTOWN COMMERCIAL,-122.3320622,47.60348389
2020-001276,ASSAULT OFFENSES,Simple Assault,FIRST HILL,-122.3279159,47.60817662
2020-001370,ASSAULT OFFENSES,Simple Assault,DOWNTOWN COMMERCIAL,0,0
2020-001371,ASSAULT OFFENSES,Simple Assault,NORTHGATE,-122.3206032,47.71039668
2020-001394,ASSAULT OFFENSES,Simple Assault,BALLARD SOUTH,-122.3749015,47.66866614
2020-001487,ASSAULT OFFENSES,Intimidation,CHINATOWN/INTERNATIONAL DISTRICT,-122.3263539,47.60087091
2020-001494,ASSAULT OFFENSES,Simple Assault,SLU/CASCADE,0,0
